Date, Open, High, Low, Close, Volume 
2004-09-15, 213.500000 , 213.981003 ,210.625000, 212.625000,10730032 
2004-09-16, 212.156006 , 212.750000 ,210.018997, 211.869003,8340024 
2004-09-17, 211.994003 , 211.994003 ,208.781006, 211.212006,10194040 
2004-10-07, 212.500000 , 214.000000 ,210.037994, 213.188004,7716048 
2004-10-27, 234.000000 , 234.988007 ,229.044006, 233.475006,9222712 
2004-11-09, 253.750000 , 255.625000 ,250.630997, 254.593994,11983608 
2004-11-10, 255.625000 , 256.250000 ,251.875000, 255.130997,14120232 
2004-12-20, 263.712006 , 265.125000 ,262.138000, 264.237000,3649864 
2005-01-05, 258.125000 , 260.000000 ,250.136993, 256.562012,11098936 
2005-01-07, 254.375000 , 258.125000 ,249.375000, 256.350006,16750040 
2005-01-17, 247.750000 , 251.750000 ,241.899994, 249.712006,9754200 
2005-01-20, 244.000000 , 247.250000 ,240.250000, 245.593994,9269560 
2005-01-25, 238.625000 , 240.250000 ,235.250000, 239.106003,8100528 
2005-02-15, 271.250000 , 273.500000 ,268.125000, 272.737000,7769912 
2005-02-17, 271.250000 , 272.475006 ,266.899994, 271.743988,8764360 
2005-02-18, 271.250000 , 272.955994 ,262.625000, 270.587006,3235688 
2005-02-22, 268.625000 , 271.875000 ,262.962006, 270.125000,4116416 
2005-03-10, 281.250000 , 281.250000 ,274.375000, 279.006012,6632960 
2005-03-15, 275.000000 , 278.725006 ,270.000000, 276.350006,3134144 
2005-03-18, 273.087006 , 275.625000 ,268.118988, 274.993988,7728728 
2005-04-20, 243.750000 , 244.955994 ,236.669006, 243.500000,13363144 
2005-04-21, 242.500000 , 243.750000 ,237.875000, 243.100006,10676152 
2005-04-28, 238.750000 , 239.375000 ,236.250000, 238.199997,11058680 
2005-05-12, 257.837006 , 258.250000 ,255.125000, 257.644012,5764072 
2005-05-18, 257.500000 , 257.737000 ,249.136993, 255.281006,11085672 
2005-07-15, 274.375000 , 275.625000 ,267.394012, 274.487000,8006112 
2005-07-26, 278.750000 , 279.375000 ,276.125000, 278.299988,4031648 
